x,y,z,grottoe_id,description
1.5,-4,0.3,10,10_door_point_1
5.5,-4,0.3,10,10_door_point_2
1.5,-4,1.3,10,10_door_point_3
5.5,-4,1.3,10,10_door_point_4
1.5,-4,2.3,10,10_door_point_5
5.5,-4,2.3,10,10_door_point_6
1.5,-4,3.3,10,10_door_point_7
5.5,-4,3.3,10,10_door_point_8
1.5,-4,4.3,10,10_door_point_9
5.5,-4,4.3,10,10_door_point_10
1.5,-4,5.3,10,10_door_point_11
5.5,-4,5.3,10,10_door_point_12
1.5,-4,6.3,10,10_door_point_13
5.5,-4,6.3,10,10_door_point_14
1.5,-4,7.3,10,10_door_point_15
5.5,-4,7.3,10,10_door_point_16
9.5,-4,0.3,9,9_door_point_1
9.5,-4,0.3,9,9_door_point_2
9.5,-4,1.3,9,9_door_point_3
9.5,-4,1.3,9,9_door_point_4
9.5,-4,2.3,9,9_door_point_5
9.5,-4,2.3,9,9_door_point_6
9.5,-4,3.3,9,9_door_point_7
9.5,-4,3.3,9,9_door_point_8
9.5,-4,4.3,9,9_door_point_9
9.5,-4,4.3,9,9_door_point_10
9.5,-4,5.3,9,9_door_point_11
9.5,-4,5.3,9,9_door_point_12
9.5,-4,6.3,9,9_door_point_13
9.5,-4,6.3,9,9_door_point_14
9.5,-4,7.3,9,9_door_point_15
9.5,-4,7.3,9,9_door_point_16
